Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
fte actuarieel,24,24,40,70.31,0.00,https://socialbrothers.nl/portf/fte-groep/,0,0,0.00,0,67,"[100,100,14,14,14,14,14,14,14,0,0,14]",1588664269,"Knowledge panel, Image pack, Site links"
2016 11 14,24,24,40,72.58,0.00,https://socialbrothers.nl/portf/een-oud-systeem-in-een-nieuw-jasje/schermafbeelding-2016-11-14-om-11-01-32/,0,0,0.00,0,13060000000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1588999759,"Image pack, Site links, Video Carousel"
ing betalen met android telefoon,24,24,70,90.13,2.70,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.18,253000,"[0,0,0,0,0,0,78,11,33,56,100,11]",1589834114,"Image pack, Reviews, AdWords top, Video Carousel"
marketing icon,24,24,390,57.36,0.00,https://socialbrothers.nl/dienst/online-marketing/,0,0,0.00,0,1380000000,"[29,29,44,66,66,81,100,100,66,100,81,81]",1591137627,"Image pack, Reviews, Video, FAQ"
icoon snapchat,24,24,90,78.73,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,0,0,0.00,0,3830000,"[43,43,14,14,100,57,14,14,29,14,14,14]",1590446670,"Image pack, Reviews"
wat is headless,24,24,50,58.18,0.77,https://socialbrothers.nl/waarom-een-headless-cms/,0,0,0.00,0.09,436000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1589351623,"Knowledge panel, Reviews, Video Carousel"
ing betaalpas vervangen,24,24,140,88.03,1.58,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.03,84,"[100,100,100,82,100,100,82,100,82,82,82,82]",1588775576,"Image pack, Reviews, Video, Video Carousel"
adobe social media management,24,24,50,82.31,0.00,https://socialbrothers.nl/hoe-kom-ik-aan-creative-content/,0,0,0.00,0.38,215000000,"[50,25,0,25,0,0,0,25,0,100,25,25]",1591211578,"Reviews, Video, FAQ"
camera gebruiken,25,25,90,90.35,0.19,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,1,46600000,"[33,67,33,33,33,33,100,33,33,33,100,33]",1590198855,"Reviews, Shopping ads, Video Carousel, FAQ"
bottleneck brothers,25,25,70,78.74,0.00,https://socialbrothers.nl/hoe-kom-ik-aan-creative-content/,0,0,0.00,0,4340000,"[0,100,0,0,0,0,0,0,0,0,0,0]",1591070687,"Image pack, Reviews, Video Carousel"
kan je bankpas bij je telefoon,25,25,40,87.2,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0,105000,"[11,22,11,11,44,100,11,22,11,22,22,33]",1588552945,"Reviews, Video, Featured snippet"
cross site tracking,25,25,90,72.84,0.00,https://socialbrothers.nl/waar-moet-ik-opletten-bij-cross-domain-tracking/,0,0,0.00,0,646000000,"[11,11,22,11,11,100,11,11,11,11,11,78]",1589513852,"Site links, Featured snippet, Video Carousel, People also ask"
data driven media,25,25,50,63.85,0.00,https://socialbrothers.nl/de-essentie-van-data-driven-marketing/,0,0,0.00,0.14,745000000,"[25,25,75,25,25,25,25,100,25,0,0,25]",1588544987,"Image pack, Site links, Reviews"
brothers 2017,25,25,50,84.53,0.00,https://socialbrothers.nl/de-3-beste-lijstjes-van-2017/,0,0,0.00,0,1090000000,"[14,29,71,14,14,29,14,14,14,100,14,57]",1588574615,"Image pack, Reviews, Video, Video Carousel"
seo verbeteren,25,25,170,64.81,3.01,https://socialbrothers.nl/seo-verbeteren-op-je-website-10-tips/,0,0,0.00,0.74,659000,"[54,54,65,54,35,54,54,65,54,81,100,65]",1590061637,"Featured snippet, FAQ"
avonturier persoonlijkheid,25,25,70,72.92,0.00,https://socialbrothers.nl/portf/een-huisstijl-met-persoonlijkheid/,0,0,0.00,0,38100,"[22,11,11,33,11,11,11,56,33,11,100,11]",1591433862,"Image pack, Reviews"
reality,25,28,1900,83.53,0.00,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,2,0.22,0.00,0,1210000000,"[67,79,79,67,79,100,79,79,67,79,67,79]",1591547935,"Knowledge panel, Local pack, Site links, Reviews, Video Carousel"
tros radar parkmobile,25,25,90,87.14,0.00,https://socialbrothers.nl/parkmobile-scoort-punten-met-communicatieblunder/,0,0,0.00,0,85,"[100,100,100,0,0,100,100,0,100,0,100,0]",1589070608,"Video, Video Carousel"
cross domain tracking,25,25,110,63.12,4.95,https://socialbrothers.nl/waar-moet-ik-opletten-bij-cross-domain-tracking/,0,0,0.00,0.14,111000000,"[100,79,64,79,64,79,100,79,64,79,100,79]",1591193024,"Site links, AdWords top, Video Carousel, People also ask"
snapchat voor mac,25,25,70,75.11,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0.03,47300000,"[29,14,100,29,14,14,14,14,14,43,43,29]",1591228306,"Image pack, Reviews, Video Carousel"
teamuitje den bosch,25,25,140,60.86,1.30,https://socialbrothers.nl/teamuitje-den-bosch/,0,0,0.00,0.83,51100,"[81,65,54,42,65,81,100,65,27,65,54,27]",1591280584,"Local pack, Image pack, Reviews"
contact uber rotterdam,25,25,40,83.04,0.00,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.16,2180000,"[100,0,11,100,11,22,22,22,11,11,11,22]",1590974316,"Reviews, FAQ"
demo account google merchandise store,25,25,50,61.36,0.00,https://socialbrothers.nl/google-analytics-waar-kijk-je-naar/,0,0,0.00,0,2000000,"[14,0,29,100,0,14,29,100,14,14,14,14]",1590302986,"Site links, Video Carousel"
clouds quotes,25,25,480,72.46,0.00,https://socialbrothers.nl/10-quotes-van-influencers-over-werken-in-de-cloud/,0,0,0.00,0,787000000,"[44,29,44,67,82,100,100,82,54,44,67,54]",1590456780,"Site links, Video, Featured snippet"
rabo betalen met smartphone,26,26,70,86.88,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0,1170000,"[0,0,0,0,43,100,100,14,43,14,29,14]",1590732065,"Image pack, Site links, Reviews, Video Carousel"
logo bilfinger,26,26,40,69.79,0.00,https://socialbrothers.nl/portf/bilfinger-innovations-app/,0,0,0.00,0,607000,"[11,100,22,11,11,11,11,11,100,11,22,11]",1589290623,"Image pack, Reviews, Video, FAQ"
consis academie wft basis,26,26,50,67.93,0.00,https://socialbrothers.nl/portf/beter-vindbaar-een-landingspagina/,0,0,0.00,0,39,"[100,0,0,50,50,0,0,50,0,0,0,0]",1589895122,"Image pack, Site links, Reviews"
macbook reageert niet,26,26,70,84.41,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,0,0,0.00,0.14,60200,"[9,64,18,9,9,9,45,100,9,36,9,9]",1590265908,"Image pack, Reviews, Video"
ander woord voor office manager,26,26,90,90.31,0.00,https://socialbrothers.nl/even-voorstellen-lisa-pot/,0,0,0.00,0.02,746000,"[11,33,11,33,11,11,11,22,33,100,22,11]",1589154226,Reviews
ing pay samsung,26,26,50,90.78,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0,5480000,"[0,0,0,11,11,11,33,11,11,100,11,11]",1589338158,"Image pack, Site links, Reviews, Video Carousel"
coolblue vacature plofkraak,26,26,50,81.09,0.40,https://socialbrothers.nl/hoe-spannend-is-het-eigenlijk-dat-amazon-naar-nederland-komt/,0,0,0.00,0.08,62,"[0,0,0,0,0,0,0,0,0,100,10,1]",1589521040,"Image pack, Video"
video icon,26,26,880,72.7,0.00,https://socialbrothers.nl/dienst/video-en-fotografie/,0,0,0.00,0,3760000000,"[25,30,45,55,55,77,77,77,68,68,68,100]",1591136693,"Image pack, Reviews, Video"
betalen met samsung ing,26,26,50,90.69,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.05,169000,"[0,0,0,0,0,0,0,0,22,11,100,22]",1588703742,"Image pack, Site links, Reviews, Video Carousel"
tidal vs spotify vs deezer vs apple music,26,26,70,75.42,0.00,https://socialbrothers.nl/spotify-vs-apple-music-en-de-rest/,0,0,0.00,0.14,3220000,"[0,29,0,43,14,14,100,29,14,43,14,29]",1590673850,"Site links, Reviews, AdWords bottom, Video Carousel, People also ask"
app voor evenementen,26,26,90,70.83,2.12,https://socialbrothers.nl/portf/vazo-evenementen-app/,0,0,0.00,0.89,39800000,"[60,20,80,20,20,20,100,40,40,20,20,40]",1588804154,"Site links, Reviews, Video, AdWords top, Video Carousel"
uber nederland contact,26,26,140,87.96,1.72,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.05,2200000,"[65,100,82,82,65,100,100,100,100,82,100,100]",1591211764,"Site links, Reviews"
seo onderzoek,26,26,260,87.05,1.77,https://socialbrothers.nl/hoe-doe-je-seo-onderzoek-een-stap-voor-stapgids/,0,0,0.00,0.19,1110000,"[66,81,100,66,66,66,100,100,81,100,100,81]",1591135924,"Knowledge panel, Site links, Reviews"
instant articles facebook nederland,27,27,90,85.77,0.00,https://socialbrothers.nl/de-meerwaarde-van-facebook-instant-articles/,0,0,0.00,0,1490000,"[0,0,25,50,0,0,100,0,0,25,0,0]",1590996883,"Image pack, Site links"
snapchat via facebook,27,27,50,81.42,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0,173000000,"[0,100,25,25,100,25,25,25,75,50,25,25]",1590176173,"Site links, Reviews, Video, FAQ"
t uber com nl chat,27,27,70,85.33,0.00,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0,17400000,"[22,56,56,56,11,33,11,11,11,100,33,11]",1590064973,"Site links, Reviews"
digital agency utrecht,27,27,140,55.15,2.83,https://socialbrothers.nl/digital-agency-social-brothers-krijgt-een-wordpress-broertje-wp-brothers/,0,0,0.00,0.73,3980000,"[100,81,66,34,16,28,28,28,16,34,22,22]",1591396999,"Local pack, Reviews, AdWords bottom, Video Carousel, FAQ"
logo snapchat,27,27,480,78.57,0.00,https://socialbrothers.nl/5-sociale-media-om-zetten-privecommunicatie/snapchat-logo-2/,0,0,0.00,0,305000000,"[19,29,36,44,82,67,54,100,82,82,67,82]",1591140435,"Image pack, Reviews, Video Carousel"
hoe ziet siri eruit,27,27,720,89.89,0.00,https://socialbrothers.nl/alexa-hoe-ziet-jouw-toekomst-eruit/siri/,1,0.11,0.00,0,96,"[59,39,72,88,72,59,72,48,88,100,100,72]",1591283393,"Image pack, Reviews, Video, FAQ"
snapchat online,27,31,720,79.14,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0.01,321000000,"[82,82,82,82,67,82,82,67,67,82,82,100]",1591526181,"Site links, Reviews"
ah hamster snapchat,27,27,90,80.24,0.00,https://socialbrothers.nl/social-media-tot-op-100-meter/,0,0,0.00,0,58,"[100,0,0,0,0,0,0,0,0,0,0,0]",1589939925,"Reviews, Video, Video Carousel"
excel op website,27,27,70,72.65,0.00,https://socialbrothers.nl/excel-ellende-en-de-oplossing/,0,0,0.00,0,3120000000,"[14,14,100,14,14,0,29,14,14,43,14,0]",1589726200,"Image pack, Video Carousel, FAQ"
www ar nl com,27,27,90,49.38,0.00,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,0,0,0.00,0.14,619000000,"[29,0,14,100,0,14,0,14,43,14,14,71]",1591360423,"Reviews, Video"
social nederland,27,27,50,73.82,0.00,https://socialbrothers.nl/,0,0,0.00,0,484000000,"[29,29,14,14,14,0,14,100,29,14,29,14]",1591029962,"Local pack, Image pack, Site links, Reviews"
iphone 6s nfc apple pay,27,27,40,84.95,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.71,3800000,"[25,25,25,0,25,100,25,0,25,25,0,25]",1590453910,"Site links, Video, Video Carousel, FAQ"
maintenance next,27,27,480,66.81,0.00,https://socialbrothers.nl/verschil-maken-bij-maintenance-next/,0,0,0.00,0.01,1640000000,"[100,6,5,3,1,1,2,2,2,3,2,2]",1591139591,"Knowledge panel, Image pack, Site links, Video, Video Carousel"
wat is volume,27,27,210,81.46,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,0,0,0.00,0,138000000,"[19,24,24,8,8,100,81,66,24,36,29,36]",1591207285,"Knowledge panel, Site links, Reviews, Video Carousel"
ar reality,27,27,40,80.07,0.98,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,0,0,0.00,0.18,589000000,"[29,14,14,14,29,29,14,100,14,57,14,57]",1589621582,"Knowledge panel, Site links, Reviews"
welk cms kiezen,27,27,40,61.38,0.88,https://socialbrothers.nl/cms-systeem-kiezen/,0,0,0.00,0.36,95600,"[14,14,29,14,14,43,100,57,100,29,14,14]",1589927589,"Image pack, Site links, Reviews"
google earth tips,28,28,40,87.49,0.00,https://socialbrothers.nl/5-redenen-om-nu-in-te-stappen-in-virtual-reality/google-earth-komt-met-virtual-reality-variant/,0,0,0.00,0.06,477000000,"[29,14,29,57,14,71,14,14,14,14,14,100]",1591291871,"Reviews, Video Carousel, FAQ"
augmented reality brille test,28,28,90,75.92,0.00,https://socialbrothers.nl/voordelen-van-e-learning-met-augmented-reality-ar-learning/,0,0,0.00,0.43,822000,"[0,0,0,0,0,0,0,0,0,0,0,100]",1591228389,"Site links, Reviews, Video Carousel"
evenement snapchat,28,28,70,71.32,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0,1480000,"[0,100,100,100,100,100,100,100,0,0,0,0]",1591202553,"Image pack, Reviews, Video Carousel"
houdt van eten iens,28,28,70,81.93,0.00,https://socialbrothers.nl/waarom-iens-niets-misdaan-heeft/,0,0,0.00,0,43,"[20,40,20,20,20,20,100,40,100,20,20,0]",1589636317,"Knowledge panel, Image pack, Site links, Reviews"
leng leng,28,28,90,85.91,0.00,https://socialbrothers.nl/even-voorstellen-niels-de-leng/,0,0,0.00,0,30600000,"[11,11,11,11,11,78,11,11,56,11,100,11]",1589114100,"Local pack, Image pack, Site links, Reviews, Video Carousel"
employer branding,28,29,2400,70.86,2.47,https://socialbrothers.nl/waarom-een-sterke-employer-branding-onmisbaar-is/,3,0.33,8.10,0.58,95100000,"[83,83,66,66,55,100,100,100,66,100,100,83]",1591560012,"Knowledge panel, Site links, Reviews, Featured snippet, AdWords bottom"
betaalpas vervangen ing,28,28,90,90.2,2.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.05,91,"[100,100,82,82,82,100,100,82,100,82,100,100]",1590392211,"Image pack, Reviews, Video, Video Carousel"
ing draadloos betalen app,28,28,50,89.93,1.76,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.21,54200,"[100,43,14,14,14,14,14,14,29,14,14,14]",1591253980,"Image pack, Reviews, Video Carousel"
hoe werkt uber,28,27,880,84.16,0.54,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.12,299000,"[59,88,100,88,88,72,72,100,100,72,88,32]",1591546699,"Reviews, Video, FAQ"
content restaurant,28,28,70,72.06,0.86,https://socialbrothers.nl/5-online-marketing-tips-voor-restaurants/,0,0,0.00,0.19,3040000000,"[100,9,36,36,36,36,9,27,9,9,45,18]",1588613607,"Local pack, Reviews, FAQ"
samsung betalen app,28,28,50,89.75,1.20,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.21,92,"[0,0,0,0,24,24,29,6,82,6,65,100]",1590756053,"Image pack, Reviews, Video Carousel, FAQ"
employer branding strategie,29,77,110,65.4,2.94,https://socialbrothers.nl/waarom-een-sterke-employer-branding-onmisbaar-is/,0,0,0.00,0.94,789000,"[53,65,41,53,41,82,65,100,53,65,82,53]",1591568292,"Image pack, Site links, Reviews, AdWords bottom"
alexa muziek afspelen,29,29,90,77.36,0.00,https://socialbrothers.nl/alexa-hoe-ziet-jouw-toekomst-eruit/,0,0,0.00,1,36000,"[0,0,0,0,0,0,0,0,0,20,100,40]",1588927270,"Site links, Reviews, Featured snippet, AdWords top, Shopping ads, Video Carousel"
linkedin 2019 mockup,29,29,70,69.58,0.00,https://socialbrothers.nl/slider/1722/tim-mockup/,0,0,0.00,0,5350000,"[50,50,25,25,25,25,100,25,25,25,25,25]",1589941624,"Image pack, Site links, Video"
apple music spotify,29,29,70,83.98,1.48,https://socialbrothers.nl/spotify-vs-apple-music-en-de-rest/,0,0,0.00,0.09,257000000,"[3,13,3,3,6,3,3,3,100,9,3,3]",1588779262,"Top stories, Image pack, Reviews, Video Carousel"
bart smit online,29,29,140,85.61,0.00,https://socialbrothers.nl/6-conversieverhogende-technieken/schermafdruk-2016-11-10-10-24-18/,0,0,0.00,0.36,1140000,"[52,52,67,52,52,81,67,52,100,81,52,52]",1589352369,"Site links, Reviews, Video, FAQ"
uber app voor chauffeurs,29,29,70,90.18,0.00,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0,2910000,"[50,100,0,0,0,0,0,0,0,50,0,0]",1589032859,"Image pack, Reviews, Video Carousel"
snapchat filters,29,29,2900,83.73,0.87,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0.05,58900000,"[16,100,24,24,24,24,24,19,19,24,24,19]",1591465283,"Image pack, Reviews, Video, Video Carousel"
mac toetsenbord werkt niet,29,29,90,81.51,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,0,0,0.00,0.01,510000,"[100,29,29,14,14,14,14,14,29,14,14,14]",1591335503,"Image pack, Site links, Reviews, Video, Featured snippet, FAQ"
seatme restaurateur,29,29,50,77.32,0.00,https://socialbrothers.nl/waarom-iens-niets-misdaan-heeft/,0,0,0.00,0,1050,"[33,67,33,33,33,0,100,33,33,33,33,67]",1589654114,"Image pack, Reviews"
maatvast haarlemmermeer,29,29,70,75.72,0.00,https://socialbrothers.nl/regicare-koppeling/logomv/,0,0,0.00,0,68,"[100,7,79,7,7,14,14,21,7,7,7,7]",1588663900,"Local pack, Image pack, Site links"
recras support,29,29,40,69.28,1.34,https://socialbrothers.nl/,0,0,0.00,0.13,39,"[11,100,22,22,11,11,11,11,44,11,11,56]",1590442683,"Image pack, AdWords top"
3d filter snapchat,29,29,90,79.68,0.00,https://socialbrothers.nl/creeer-je-eigen-ar-lenzen-voor-snapchat-met-lens-studio/,0,0,0.00,0.05,3870000,"[20,40,0,20,20,20,40,100,40,20,100,20]",1590867209,"Image pack, Reviews, Video Carousel, People also ask, FAQ"
helping hands logo,29,29,40,76.57,0.00,https://socialbrothers.nl/portf/de-kunst-van-filteren-en-doseren/helping-hands-bg/,0,0,0.00,0.14,1290000000,"[20,20,20,20,100,20,40,20,20,20,20,80]",1588778838,"Image pack, Site links, Reviews, Video"
bachelorarbeit employer branding social media,30,30,70,68.63,0.00,https://socialbrothers.nl/waarom-een-sterke-employer-branding-onmisbaar-is/,0,0,0.00,0,27,"[0,0,0,0,0,0,0,0,100,0,0,0]",1591220369,Image pack
hoop snapchat,30,30,50,63.61,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0,4810000,"[0,0,11,0,11,11,56,11,11,100,78,11]",1590265625,"Image pack, Site links, Reviews, Video Carousel"
peanuts marketing,30,30,110,86.98,0.00,https://socialbrothers.nl/portf/wet-dba-peanuts/,0,0,0.00,0,28800000,"[36,64,50,64,64,64,100,100,79,100,79,79]",1591200295,"Knowledge panel, Image pack, Site links"
headless cms saas,30,30,70,58.01,0.00,https://socialbrothers.nl/waarom-een-headless-cms/,0,0,0.00,0.43,114000,"[0,0,20,0,20,20,20,20,100,60,0,20]",1590249730,"Image pack, AdWords bottom, FAQ"
contentmanagementsysteem,30,30,140,75.15,1.60,https://socialbrothers.nl/cms-systeem-kiezen/,0,0,0.00,0.25,137000,"[54,54,35,27,35,27,65,81,100,42,42,35]",1588725181,"Knowledge panel, Site links, Reviews, Featured snippet"
pinpas gevonden ing,30,30,90,83.6,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0,72,"[79,64,79,79,64,64,64,100,79,64,79,50]",1589745580,"Image pack, Reviews"
uit de kunst werving en selectie,30,30,90,67.41,1.21,https://socialbrothers.nl/de-perfecte-website-werving-selectie/,0,0,0.00,0.19,128000,"[100,33,33,33,67,67,67,100,67,33,33,33]",1589046698,"Knowledge panel, Image pack, Site links, Reviews"
goed cms systeem,30,30,70,69.6,0.00,https://socialbrothers.nl/cms-systeem-kiezen/,0,0,0.00,0.14,294000,"[20,40,0,80,20,20,20,0,20,0,20,100]",1590706125,"Reviews, Featured snippet"
the social com,30,30,90,65.77,0.00,https://socialbrothers.nl/,0,0,0.00,0,25270000000,"[50,0,0,0,100,0,0,0,0,0,50,0]",1589788391,Reviews
sapr logo,30,30,50,81.28,0.00,https://socialbrothers.nl/slider/spar-university/logo-spar/,0,0,0.00,0,99400000,"[0,100,0,0,0,0,33,0,0,100,0,33]",1591117121,"Image pack, Site links, Reviews, Video"
postnl logo,30,20,1600,71.55,0.00,https://socialbrothers.nl/hololens-huren/postnl-logo/,0,0,0.00,0,12700000,"[38,38,53,68,68,84,100,100,100,100,100,100]",1591568583,Image pack
betalen met smartphone rabobank,30,30,50,87.03,2.66,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.07,104000,"[11,11,11,11,11,33,22,22,11,100,11,11]",1591465122,"Image pack, Site links, Reviews, Video Carousel"
ar app bouwen,30,30,50,66.09,0.00,https://socialbrothers.nl/hoe-kan-je-augmented-reality-ar-toepassen-in-je-marketing/,0,0,0.00,0.86,371000,"[0,0,33,67,67,33,33,100,67,67,33,33]",1591070762,Reviews
abp portfolio,30,30,70,77.22,0.00,https://socialbrothers.nl/portf/abp-en-realitycheck-nl-succesvolle-social-mediacampagne/,0,0,0.00,0,1710000,"[100,0,20,100,0,20,20,20,60,20,20,20]",1590367447,Video
social growth,30,30,50,57.24,0.00,https://socialbrothers.nl/data-marketing-en-growth-hacking-zo-doe-je-dat/,0,0,0.00,0,1120000000,"[33,33,33,33,67,33,33,100,33,33,33,33]",1591211357,"Site links, Reviews, Video Carousel"
wordpress ceo,30,30,50,70.65,0.00,https://socialbrothers.nl/digital-agency-social-brothers-krijgt-een-wordpress-broertje-wp-brothers/,0,0,0.00,0.11,150000000,"[20,60,20,20,100,40,60,20,40,20,20,20]",1588848704,"Knowledge panel, Site links, Reviews, AdWords bottom, Video Carousel, FAQ"
bezoekersapp rotterdam,30,30,50,78.36,0.00,https://socialbrothers.nl/dienst/apps/,0,0,0.00,0,47,"[100,11,11,11,11,11,11,11,11,56,11,22]",1588873405,"Image pack, Site links, Reviews, FAQ"
hoe werkt mobiel betalen ing,31,31,110,91.15,2.05,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.17,295000,"[33,43,14,52,43,24,33,67,67,67,100,81]",1588653350,"Image pack, Reviews, Video, AdWords top, FAQ"
hoe bestel je een uber,31,31,40,82.74,0.00,https://socialbrothers.nl/uber-utrecht-mijn-eerste-keer/,0,0,0.00,0.13,259000,"[57,100,100,14,14,14,14,14,14,14,14,14]",1591285296,"Reviews, Featured snippet, FAQ"
seo marketing,31,31,880,69.41,2.49,https://socialbrothers.nl/hoe-zet-je-seo-in-voor-je-marketing-10-tips/,0,0,0.90,0.25,358000000,"[82,82,82,100,82,100,100,82,82,100,100,100]",1591537394,"Knowledge panel, Local pack, Site links, Reviews, FAQ"
cms systeem,31,31,1000,69.56,1.48,https://socialbrothers.nl/cms-systeem-kiezen/,0,0,0.90,0.29,425000,"[68,68,68,68,68,100,100,100,77,100,100,77]",1591470617,"Knowledge panel, Site links, Reviews"
seo website,31,0,880,70.04,2.01,https://socialbrothers.nl/seo-verbeteren-op-je-website-10-tips/,0,0,0.90,0.26,586000000,"[82,82,82,82,82,82,100,100,100,100,100,82]",1591541762,"Reviews, FAQ"
restaurant marketing manager,31,31,70,77.39,0.00,https://socialbrothers.nl/5-online-marketing-tips-voor-restaurants/,0,0,0.00,0,212000000,"[25,0,25,25,25,100,25,0,25,0,0,0]",1590856462,Reviews
macbook pro gaat niet aan,31,31,140,75.81,0.00,https://socialbrothers.nl/wat-als-jouw-macbook-volume-niet-omhoog-kan/,0,0,0.00,0.07,85,"[67,52,43,43,67,81,100,67,52,67,43,67]",1591495135,"Image pack, Reviews, Video, FAQ"
marc andreessen quotes,31,31,40,78.1,0.00,https://socialbrothers.nl/10-quotes-van-influencers-over-werken-in-de-cloud/marcandreessen/,0,0,0.00,0,728000,"[0,0,0,0,0,0,0,33,0,33,100,0]",1588782584,"Image pack, Video, Featured snippet"
cms vergelijken,31,31,50,62.98,1.82,https://socialbrothers.nl/cms-systeem-kiezen/,0,0,0.00,0.64,205000,"[33,11,100,11,11,11,11,11,11,11,11,100]",1589376760,"Site links, Reviews"
the real life,31,31,90,85.38,0.00,https://socialbrothers.nl/social-media-vs-real-life/,0,0,0.00,0,9290000000,"[100,20,20,20,20,20,40,40,60,20,60,40]",1591221292,"Knowledge panel, Site links, Reviews, Video Carousel, FAQ"
landing page marketing,31,31,50,69.07,2.62,https://socialbrothers.nl/3-tips-voor-een-goede-landing-page/,0,0,0.00,0.46,158000000,"[14,14,14,100,100,14,14,14,43,29,14,14]",1588642429,"Image pack, Site links, AdWords top, FAQ"
wallet ing android,31,31,50,93.25,0.00,https://socialbrothers.nl/jouw-smartphone-als-pinpas/,0,0,0.00,0.1,3250000,"[0,0,0,0,0,0,22,100,22,22,11,11]",1590058580,"Image pack, Site links, Reviews, Video, Video Carousel"
wet head bart smit,31,31,70,93.82,0.00,https://socialbrothers.nl/6-conversieverhogende-technieken/,0,0,0.00,0,272000,"[0,0,0,0,100,0,0,0,0,0,0,0]",1590903366,"Image pack, Reviews, Shopping ads, Video Carousel"
restaurant landing page,31,31,90,57.94,0.00,https://socialbrothers.nl/3-tips-voor-een-goede-landing-page/,0,0,0.00,0,65700000,"[20,20,20,100,60,20,20,20,20,20,20,0]",1590842060,"Image pack, Reviews, Video Carousel"
beste snapchat filter,31,31,50,75.55,0.00,https://socialbrothers.nl/hoe-gebruik-je-de-snapchat-camera-op-zoom/,0,0,0.00,0,66100000,"[50,50,50,100,0,50,100,0,100,0,0,0]",1591437821,"Image pack, Site links, Reviews, Video Carousel"
marketing mediamarkt,32,32,70,79.7,0.00,https://socialbrothers.nl/6-conversieverhogende-technieken/mediamarkt/,0,0,0.00,0,866000,"[33,33,33,33,0,67,33,33,100,100,33,33]",1589052911,"Image pack, Reviews, Video Carousel"
wannahaves agency,32,32,50,72.85,0.00,https://socialbrothers.nl/digital-agency-social-brothers-krijgt-een-wordpress-broertje-wp-brothers/,0,0,0.00,0.06,34,"[0,0,0,0,0,0,0,0,0,25,100,25]",1588696132,"Image pack, Site links"
blog app template,32,0,50,78.96,0.00,https://socialbrothers.nl/controleer-je-seo-teksten-met-dit-template/,0,0,0.00,0.29,585000000,"[0,0,0,0,0,0,0,0,0,0,100,33]",1591510723,"Image pack, Reviews, Video, AdWords top, People also ask"
facebook in real life,32,32,70,86.76,0.00,https://socialbrothers.nl/social-media-vs-real-life/,0,0,0.00,0,7520000000,"[20,20,20,20,20,100,60,20,20,20,20,20]",1590739638,"Image pack, Video"
